IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
52.14.186.213,443,443,true,IAD,North America,US,Ashburn,248,9.06
54.153.96.188,80,443,true,SJC,North America,US,San Jose,420,9.05
54.187.167.230,443,443,true,SEA,North America,US,Seattle,220,9.04
52.42.204.140,443,443,true,SEA,North America,US,Seattle,390,9.04
54.193.28.166,80,443,true,SJC,North America,US,San Jose,278,9.04
54.183.193.193,80,443,true,SJC,North America,US,San Jose,204,9.02
54.184.134.9,443,443,true,SEA,North America,US,Seattle,253,9.01
44.245.19.151,443,443,true,SEA,North America,US,Seattle,309,8.99
52.12.141.88,443,443,true,SEA,North America,US,Seattle,245,8.98
54.190.161.208,8443,443,true,SEA,North America,US,Seattle,246,8.98
54.185.181.143,443,443,true,SEA,North America,US,Seattle,446,8.97
67.226.221.143,443,443,true,SJC,North America,US,San Jose,347,8.96
54.186.3.94,443,443,true,SEA,North America,US,Seattle,305,8.96
54.202.56.134,443,443,true,SEA,North America,US,Seattle,246,8.94
54.184.160.55,443,443,true,SEA,North America,US,Seattle,301,8.93
54.151.9.4,80,443,true,SJC,North America,US,San Jose,374,8.93
54.245.211.172,443,443,true,SEA,North America,US,Seattle,247,8.92
54.191.190.195,443,443,true,SEA,North America,US,Seattle,265,8.92
54.218.135.87,8443,443,true,SEA,North America,US,Seattle,321,8.91
54.149.195.118,443,443,true,SEA,North America,US,Seattle,398,8.90
44.243.219.229,8443,443,true,SEA,North America,US,Seattle,228,8.89
44.243.176.174,443,443,true,SEA,North America,US,Seattle,247,8.87
67.226.221.51,443,443,true,SJC,North America,US,San Jose,196,8.87
54.218.108.26,443,443,true,SEA,North America,US,Seattle,289,8.86
54.244.129.144,443,443,true,SEA,North America,US,Seattle,421,8.86
50.18.133.190,80,443,true,SJC,North America,US,San Jose,337,8.85
52.32.47.125,443,443,true,SEA,North America,US,Seattle,246,8.85
54.212.154.232,443,443,true,SEA,North America,US,Seattle,284,8.85
54.187.8.125,443,443,true,SEA,North America,US,Seattle,309,8.82
54.218.103.101,443,443,true,SEA,North America,US,Seattle,242,8.82
54.148.238.109,443,443,true,SEA,North America,US,Seattle,284,8.79
52.35.122.141,443,443,true,SEA,North America,US,Seattle,229,8.78
54.189.98.192,443,443,true,SEA,North America,US,Seattle,297,8.77
67.226.221.17,80,443,true,SJC,North America,US,San Jose,413,8.75
54.149.8.246,443,443,true,SEA,North America,US,Seattle,293,8.75
44.245.226.212,443,443,true,SEA,North America,US,Seattle,334,8.75
44.243.76.218,443,443,true,SEA,North America,US,Seattle,262,8.75
67.226.223.25,80,443,true,LHR,Europe,GB,London,292,8.75
44.245.21.74,443,443,true,SEA,North America,US,Seattle,264,8.73
54.190.48.45,443,443,true,SEA,North America,US,Seattle,291,8.73
